date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2006:33:52%20GMT	https://ivang-design.com/robots.txt		(from )
12:03:52	33998/33998	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Nov%202018%2022:08:10%20GMT	https://ivang-design.com/thalia/	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/index.html	(from )
12:03:53	31000/31000	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Sep%202017%2019:40:28%20GMT	https://ivang-design.com/thalia/css/font-awesome.min.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/font-awesome.min.css	(from https://ivang-design.com/thalia/)
12:03:53	140936/140936	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2016:37:28%20GMT	https://ivang-design.com/thalia/css/bootstrap.min.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/bootstrap.min.css	(from https://ivang-design.com/thalia/)
12:03:55	51284/51284	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Jun%202018%2007:53:04%20GMT	https://ivang-design.com/thalia/css/ionicons.min.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/ionicons.min.css	(from https://ivang-design.com/thalia/)
12:03:55	24463/24463	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Nov%202018%2007:50:18%20GMT	https://ivang-design.com/thalia/css/datepicker.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/datepicker.css	(from https://ivang-design.com/thalia/)
12:03:56	14471/14471	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Oct%202017%2011:40:42%20GMT	https://ivang-design.com/thalia/css/jquery.fancybox.min.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/jquery.fancybox.min.css	(from https://ivang-design.com/thalia/)
12:03:56	7520/7520	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jan%202015%2020:51:26%20GMT	https://ivang-design.com/thalia/css/owl.carousel.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/owl.carousel.css	(from https://ivang-design.com/thalia/)
12:03:59	4641/4641	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Aug%202014%2013:39:10%20GMT	https://ivang-design.com/thalia/css/owl.transitions.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/owl.transitions.css	(from https://ivang-design.com/thalia/)
12:04:00	3723/3723	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Nov%202018%2013:23:18%20GMT	https://ivang-design.com/thalia/css/colors/color.css	C:/xampp/htdocs/green-escape/tmp/ivang-design.com/thalia/css/colors/color.css	(from https://ivang-design.com/thalia/)
